country_code,country,hdi,gdp_per_capita,mean_years_schooling,education_expenditure_pct_gdp,health_expenditure_per_capita,government_effectiveness,gii,region,income_level
DMA,Dominica,0.74,8590.92209069816,9.1863441,6.04314243406571,542.53948975,-0.0973235219717026,,Latin America & Caribbean,Upper middle income
DNK,Denmark,0.952,59108.7449374068,12.96049023,6.35586977005005,6451.19433594,1.9901350736618,0.009,Europe & Central Asia,High income
DOM,Dominican Republic,0.766,8698.13592094395,9.150526383,3.61088872070271,469.34915161,-0.0684610605239868,0.433,Latin America & Caribbean,Upper middle income
DZA,Algeria,0.745,4544.46688060372,6.987443608,4.74924673000603,180.33454895,-0.51349949836731,0.46,Middle East & North Africa,Upper middle income
ECU,Ecuador,0.765,6107.49495006543,8.969750404,3.59897994995117,495.30380249,-0.309278339147568,0.371,Latin America & Caribbean,Upper middle income
EGY,Egypt,0.728,4029.78295457978,9.84810224,,171.67852783,-0.448231309652328,0.389,Middle East & North Africa,Lower middle income
ESP,Spain,0.911,28203.1093419474,10.60540009,4.58553981781006,2948.61474609,0.920230388641357,0.059,Europe & Central Asia,High income
EST,Estonia,0.899,21023.2994937246,13.54843044,5.20733976364136,1998.74523926,1.34263217449188,0.093,Europe & Central Asia,High income
ETH,Ethiopia,0.492,811.177729326201,2.390854081,3.73649512188829,27.06845474,-0.791824162006378,0.494,Sub-Saharan Africa,
FIN,Finland,0.942,46016.1492103929,12.92915501,6.37603998184204,4902.0390625,1.75458240509033,0.032,Europe & Central Asia,High income
FJI,Fiji,0.729,5291.51693123572,10.37096977,3.93839539074194,217.15068054,0.593959331512451,0.332,East Asia & Pacific,Upper middle income
FRA,France,0.91,38868.3303330557,11.68859246,5.32435989379883,4857.73388672,1.16521215438843,0.084,Europe & Central Asia,High income
FSM,Micronesia (Federated States of),0.634,2923.25915160041,7.33252398,,468.53509521,0.379875272512436,,East Asia & Pacific,Lower middle income
GAB,Gabon,0.693,6527.48207900404,9.55,2.20773650357931,243.09941101,-0.685424149036407,0.524,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,0.94,48433.009835767,13.4061203,,5111.81738281,1.23809003829956,0.094,Europe & Central Asia,High income
GEO,Georgia,0.814,5736.30449578597,12.70217037,3.75498008728027,546.22503662,0.650143086910248,0.283,Europe & Central Asia,Upper middle income
GHA,Ghana,0.602,2067.20895910766,6.432318439,2.90963831638452,82.32108307,-0.106421269476414,0.512,Sub-Saharan Africa,Lower middle income
GIN,Guinea,0.471,987.502501465337,2.35910296,2.00722302981184,53.2922287,-0.914215862751007,0.609,Sub-Saharan Africa,Lower middle income
GMB,Gambia,0.495,710.686979216316,4.512420177,2.89168744551701,29.57811737,-0.653572559356689,0.585,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,0.483,752.901123263165,3.673035,,68.01049042,-1.4869327545166,0.631,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,0.65,5524.24312418579,8.281327014,,215.32841492,-1.29705548286438,,Sub-Saharan Africa,Upper middle income
GRC,Greece,0.893,20552.3223279685,11.40853024,3.37547993659973,1768.11071777,0.446967661380768,0.12,Europe & Central Asia,High income
