economy,series,Country,Series,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
AGO,SE.XPD.TOTL.GD.ZS,Angola,"Government expenditure on education, total (% of GDP)",2.07306438181603,2.66744733689285,2.29719689513241,2.38535898416633,2.51273663315785,,
AND,SE.XPD.TOTL.GD.ZS,Andorra,"Government expenditure on education, total (% of GDP)",3.15060997009277,2.63213046553066,2.381921736037,2.64727997779846,1.89867997169495,,
ASM,SE.XPD.TOTL.GD.ZS,American Samoa,"Government expenditure on education, total (% of GDP)",,,,,,,
DZA,SE.XPD.TOTL.GD.ZS,Algeria,"Government expenditure on education, total (% of GDP)",5.57536563446523,6.19391724496515,5.51403281769924,4.74924673000603,5.61015717726636,,
ALB,SE.XPD.TOTL.GD.ZS,Albania,"Government expenditure on education, total (% of GDP)",3.87018990516663,3.325040102005,3.00555992126465,2.72976994514465,3.09153008460998,,
AFG,SE.XPD.TOTL.GD.ZS,Afghanistan,"Government expenditure on education, total (% of GDP)",,,,,,,
WLD,SE.XPD.TOTL.GD.ZS,World,"Government expenditure on education, total (% of GDP)",4.15776014328003,4.34224486351013,4.23262732662743,3.84722961564427,3.51483161383978,,
UMC,SE.XPD.TOTL.GD.ZS,Upper middle income,"Government expenditure on education, total (% of GDP)",4.04363430268776,4.29654002189636,3.88806009292603,3.58951497077942,3.66082501411437,,
TSS,SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),"Government expenditure on education, total (% of GDP)",3.4130699634552,3.59794998906911,3.31281536274069,3.0972642678305,3.25853222146531,,
SSA,SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (excluding high income),"Government expenditure on education, total (% of GDP)",3.33011705158194,3.40915991351725,3.25544539195647,3.08249624893127,3.29929215701724,,
SSF,SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa,"Government expenditure on education, total (% of GDP)",3.4130699634552,3.59794998906911,3.31281536274069,3.0972642678305,3.25853222146531,,
TSA,SE.XPD.TOTL.GD.ZS,South Asia (IDA & IBRD),"Government expenditure on education, total (% of GDP)",3.89212886881753,3.1916501133819,3.29945958568872,3.09202235990416,2.16213826344701,2.86143825839217,
SAS,SE.XPD.TOTL.GD.ZS,South Asia,"Government expenditure on education, total (% of GDP)",3.89212886881753,3.1916501133819,3.29945958568872,3.09202235990416,2.16213826344701,2.86143825839217,
SST,SE.XPD.TOTL.GD.ZS,Small states,"Government expenditure on education, total (% of GDP)",4.85244011878967,4.83895129079956,4.87697505950928,4.84085988998413,4.78597787804789,,
PRE,SE.XPD.TOTL.GD.ZS,Pre-demographic dividend,"Government expenditure on education, total (% of GDP)",3.24716413970868,3.24270320512235,3.10528051699067,2.89168744551701,3.24413772101569,,
PST,SE.XPD.TOTL.GD.ZS,Post-demographic dividend,"Government expenditure on education, total (% of GDP)",4.94613003730774,5.28408002853394,5.08859992027283,4.99167513847351,,,
PSS,SE.XPD.TOTL.GD.ZS,Pacific island small states,"Government expenditure on education, total (% of GDP)",,,,,,,
OSS,SE.XPD.TOTL.GD.ZS,Other small states,"Government expenditure on education, total (% of GDP)",5.16293001174927,5.32546270122803,5.08243989944458,5.02409982681275,5.00431592836751,,
OED,SE.XPD.TOTL.GD.ZS,OECD members,"Government expenditure on education, total (% of GDP)",4.94613003730774,5.29139995574951,5.12611985206604,4.99167513847351,,,
INX,SE.XPD.TOTL.GD.ZS,Not classified,"Government expenditure on education, total (% of GDP)",,,,,,,
NAC,SE.XPD.TOTL.GD.ZS,North America,"Government expenditure on education, total (% of GDP)",4.86520004272461,5.14163494110107,5.08449006080627,4.88021993637085,,,
MIC,SE.XPD.TOTL.GD.ZS,Middle income,"Government expenditure on education, total (% of GDP)",3.82985997200012,3.94374100561712,3.64776992797852,3.5056539313726,3.51486315596325,,
TMN,SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","Government expenditure on education, total (% of GDP)",3.24005007743835,3.55303483980158,,3.15300011634827,3.51486315596325,,
MNA,SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Government expenditure on education, total (% of GDP)",,,,,,,
MEA,SE.XPD.TOTL.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan","Government expenditure on education, total (% of GDP)",3.86020994186401,3.98417997360229,,4.30123996734619,,,
LMC,SE.XPD.TOTL.GD.ZS,Lower middle income,"Government expenditure on education, total (% of GDP)",3.40748649142134,3.65287360437751,3.31281536274069,3.19562257696233,3.42617011070252,,
LIC,SE.XPD.TOTL.GD.ZS,Low income,"Government expenditure on education, total (% of GDP)",3.23821222605582,3.29376565416048,3.5099168512537,2.97970783777452,,,
LMY,SE.XPD.TOTL.GD.ZS,Low & middle income,"Government expenditure on education, total (% of GDP)",3.57594314256335,3.91176009178162,3.64776992797852,3.44776888059898,3.51480007171631,,
LDC,SE.XPD.TOTL.GD.ZS,Least developed countries: UN classification,"Government expenditure on education, total (% of GDP)",2.91074046615192,3.06497843916225,3.07085166362803,2.89168744551701,3.20149725837724,,
TLA,SE.XPD.TOTL.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),"Government expenditure on education, total (% of GDP)",4.51069021224976,4.53030931019986,4.08717467298944,3.81658744264708,3.58356891251738,,
LAC,SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (excluding high income),"Government expenditure on education, total (% of GDP)",4.51069021224976,4.54901954970835,4.08717467298944,3.83315992355347,3.82714889622862,,
LCN,SE.XPD.TOTL.GD.ZS,Latin America & Caribbean,"Government expenditure on education, total (% of GDP)",4.51069021224976,4.53030931019986,4.08717467298944,3.84722961564427,3.7606477375256,,
LTE,SE.XPD.TOTL.GD.ZS,Late-demographic dividend,"Government expenditure on education, total (% of GDP)",4.26779985427856,4.44620380169618,4.4231769782443,4.31372976303101,4.00127983093262,,
IDA,SE.XPD.TOTL.GD.ZS,IDA total,"Government expenditure on education, total (% of GDP)",3.24716413970868,3.37112868540092,3.15661438703005,3.06772823003204,3.22974322056608,,
IDX,SE.XPD.TOTL.GD.ZS,IDA only,"Government expenditure on education, total (% of GDP)",3.23821222605582,3.29376565416048,3.15661438703005,3.08249624893127,3.21562023947166,,
IDB,SE.XPD.TOTL.GD.ZS,IDA blend,"Government expenditure on education, total (% of GDP)",3.33011705158194,3.71980683449924,3.14335470187693,2.72738253259215,3.34005209256916,,
IBT,SE.XPD.TOTL.GD.ZS,IDA & IBRD total,"Government expenditure on education, total (% of GDP)",3.75902209369218,4.01641864383637,3.76686919289078,3.5056539313726,3.42617011070252,,
IBD,SE.XPD.TOTL.GD.ZS,IBRD only,"Government expenditure on education, total (% of GDP)",3.94555997848511,4.30487012863159,4.04323350069167,3.59897994995117,3.64066817034714,,
HIC,SE.XPD.TOTL.GD.ZS,High income,"Government expenditure on education, total (% of GDP)",4.62793493270874,4.87601995468139,4.79329490661621,4.65508985519409,,,
HPC,SE.XPD.TOTL.GD.ZS,Heavily indebted poor countries (HIPC),"Government expenditure on education, total (% of GDP)",3.33011705158194,3.40915991351725,3.31281536274069,3.0972642678305,3.24413772101569,,
FCS,SE.XPD.TOTL.GD.ZS,Fragile and conflict affected situations,"Government expenditure on education, total (% of GDP)",3.14728181647774,3.37838750148121,3.14335470187693,,2.33451767489177,,
EUU,SE.XPD.TOTL.GD.ZS,European Union,"Government expenditure on education, total (% of GDP)",4.62736988067627,4.93079495429992,4.79329490661621,4.65508985519409,,,
TEC,SE.XPD.TOTL.GD.ZS,Europe & Central Asia (IDA & IBRD countries),"Government expenditure on education, total (% of GDP)",3.99502992630005,4.40854978561401,4.11373496055603,3.90450382025902,3.93686432529785,,
ECA,SE.XPD.TOTL.GD.ZS,Europe & Central Asia (excluding high income),"Government expenditure on education, total (% of GDP)",4.04449987411499,4.38613486289978,4.13580989837646,3.66751503944397,3.70918011665344,,
ECS,SE.XPD.TOTL.GD.ZS,Europe & Central Asia,"Government expenditure on education, total (% of GDP)",4.60705995559693,4.85689997673035,4.7092399597168,4.56856989860534,,,
EMU,SE.XPD.TOTL.GD.ZS,Euro area,"Government expenditure on education, total (% of GDP)",4.78116011619568,5.29139995574951,5.08243989944458,4.95753502845764,,,
TEA,SE.XPD.TOTL.GD.ZS,East Asia & Pacific (IDA & IBRD countries),"Government expenditure on education, total (% of GDP)",2.5778339953863,3.15314171737183,2.94517488804327,2.28490151187525,3.01801113400202,,
EAP,SE.XPD.TOTL.GD.ZS,East Asia & Pacific (excluding high income),"Government expenditure on education, total (% of GDP)",2.5778339953863,3.15314171737183,2.94517488804327,2.28490151187525,3.01801113400202,,
EAS,SE.XPD.TOTL.GD.ZS,East Asia & Pacific,"Government expenditure on education, total (% of GDP)",3.08499832693462,3.30628991127014,2.98212428478268,2.88738689372749,3.51480007171631,,
EAR,SE.XPD.TOTL.GD.ZS,Early-demographic dividend,"Government expenditure on education, total (% of GDP)",3.48983027194334,4.0905654220699,3.86070382057691,3.58951497077942,3.28934001922607,,
CEB,SE.XPD.TOTL.GD.ZS,Central Europe and the Baltics,"Government expenditure on education, total (% of GDP)",4.26779985427856,4.62503004074097,4.68406009674072,4.31646490097046,,,
CSS,SE.XPD.TOTL.GD.ZS,Caribbean small states,"Government expenditure on education, total (% of GDP)",3.55386116245268,4.2576699256897,3.00432991981506,2.67331004142761,3.01114988327026,,
ARB,SE.XPD.TOTL.GD.ZS,Arab World,"Government expenditure on education, total (% of GDP)",3.42433500289917,3.76860740670194,,,,,
AFW,SE.XPD.TOTL.GD.ZS,Africa Western and Central,"Government expenditure on education, total (% of GDP)",3.0473994932468,3.39874087928788,3.09692638090381,2.89168744551701,3.21562023947166,,
AFE,SE.XPD.TOTL.GD.ZS,Africa Eastern and Southern,"Government expenditure on education, total (% of GDP)",4.51140984355031,4.0905654220699,4.36837948133246,3.69766802106406,3.96229304413263,,
ZWE,SH.XPD.CHEX.PC.CD,Zimbabwe,Current health expenditure per capita (current US$),55.10725403,51.14250565,60.89874268,68.90727997,62.92946243,,
ZMB,SH.XPD.CHEX.PC.CD,Zambia,Current health expenditure per capita (current US$),85.02349854,60.01779938,74.83802795,75.40128326,79.55635071,,
YEM,SH.XPD.CHEX.PC.CD,"Yemen, Rep.",Current health expenditure per capita (current US$),80.94759369,65.17704773,49.30105209,54.29036331,47.78109741,,
