Unnamed: 0,Unnamed: 1,Value,Unnamed: 3,Rank,Unnamed: 5,"(deaths per 100,000 live births)",Unnamed: 7,"(births per 1,000 women ages 15–19)",Unnamed: 9,(% held by women),Unnamed: 11,(% ages 25 and older),Unnamed: 13,Unnamed: 14,Unnamed: 15,(% ages 15 and older),Unnamed: 17,Unnamed: 18,Unnamed: 19
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
57,Panama,0.392,,95,,49.51727278,,68.49,,22.53521127,,67.56999969,,65.61000061,,49.71,,76.98,
59,Oman,0.267,,66,,17.00671046,,9.693,,9.941520468,,93.2646637,,98.6502533,,34.97,,83.84,
60,Georgia,0.283,,69,,27.60824572,,29.693,,19.04761905,,98.21996307,,98.68755341,,55.48,,73.5,
60,Trinidad and Tobago,0.264,,64,,26.58299776,,37.73,,32.43243243,,86.02335869,d,81.88103187,d,47.28,,62.37,
62,Barbados,0.289,,70,,39.10801491,,41.864,,32.65306122,,95.72636154,d,86.27997705,d,58.17,,65.14,
63,Malaysia,0.202,,52,,21.13193118,,9.127,,14.49275362,,76.12813868,c,79.24223022,c,55.08,,80.47,
64,Costa Rica,0.232,,58,,22.00380558,,35.749,,47.36842105,,50.18999863,,48.08000183,,50.08,,72.85,
65,Serbia,0.119,,36,,10.1813354,,14.356,,36.55462185,,89.87883544,c,96.0627568,c,50.97,,66.1,
66,Thailand,0.31,,74,,28.60043381,,31.585,,13.97557666,,49.31797153,c,53.02398051,c,59.86,,75.96,
67,Kazakhstan,0.177,,42,,13.38363194,,20.882,,24.67532468,,100,c,100,c,63.3,,74.6,
67,Seychelles,..,,..,,3.33320948,,52.121,,22.85714286,,..,,..,,65.23,,65.25,
69,Belarus,0.096,,29,,1.101917215,,11.191,,34.70588235,,98.37734548,c,99.45970879,c,65.79,,75.26,
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
70,Bulgaria,0.206,,53,,7.086025283,,38.215,,24.16666667,,94.88394165,,96.54078674,,50.57,,63.11,
71,Palau,..,,..,,..,,42.111,,6.896551724,,96.88913727,f,97.33132172,f,59.82,,73.61,
72,Mauritius,0.369,,87,,84.35797631,,24.023,,20,,66.52111097,c,72.40921213,c,42.21,,68.37,
73,Grenada,..,,..,,21.13828979,,32.141,,31.03448276,,..,,..,,37.65,,54.31,
74,Albania,0.116,,34,,8.276445584,,14.46,,35.71428571,,82.24918524,d,86.47663419,d,56.08,,69.91,
75,China,0.186,,47,,23.04763188,,11.146,,24.94117647,,79.70198229,d,86.36580148,d,53.76,,74.54,
76,Armenia,0.198,,50,,27.18972179,,18.305,,35.51401869,,96.00138092,,97.05095673,,62.8,,71.84,
77,Mexico,0.352,,84,,59.12507106,,53.693,,49.84076433,,63.70000076,,65.40000153,,45.03,,76.31,
78,Iran (Islamic Republic of),0.484,,121,,22.01888656,,29.663,,5.594405594,,73.06498735,c,77.32628477,c,13.58,,67.54,
78,Sri Lanka,0.376,,90,,28.84230517,,15.355,,5.333333333,,80.6453476,,83.28645325,,29.68,,70.69,
80,Bosnia and Herzegovina,0.148,,40,,5.668398678,,9.384,,17.54385965,,82.73858643,,94.02471924,,41.11,,61.8,
81,Saint Vincent and the Grenadines,..,,..,,61.79403226,,46.51,,18.18181818,,43.63830469,g,41.79062887,g,..,,..,
82,Dominican Republic,0.433,,107,,107.3475396,,63.198,,25.67567568,,67.51000214,,64.23000336,,50.86,,76.93,
83,Ecuador,0.371,,89,,65.74967089,,62.065,,38.68613139,,54.06529999,,54.19174957,,53.57,,76.93,
83,North Macedonia,0.134,,38,,3.035965537,,16.123,,41.66666667,,61.9025116,,75.12754822,,42.22,,64.14,
85,Cuba,0.3,,73,,39.25454627,,48.914,,53.41296928,,78.57671636,c,81.80157682,c,55.52,,83.96,
86,Moldova (Republic of),0.156,,41,,12.2647713,,27.208,,40.59405941,,96.2943566,c,98.09250551,c,71.5,,73.71,
87,Maldives,0.328,,76,,56.69380391,,6.814,,4.597701149,,46.92806785,d,46.26936583,d,53.34,,78.21,
87,Peru,0.36,,85,,68.53598225,,56.091,,40,,55.56000137,,66.72000122,,66.73,,82.43,
89,Azerbaijan,0.329,,77,,40.76367015,,40.081,,18.33333333,,93.5774011,c,97.57326992,c,61.9,,69.6,
89,Brazil,0.391,,94,,72.14753684,,43.582,,17.50841751,,67.40000153,,64.97000122,,53.75,,73.64,
91,Colombia,0.392,,95,,74.76289736,,57.612,,29.15254237,,59.72999954,,57.13999939,,51.11,,76.21,
92,Libya,0.266,,65,,72.12710336,,6.987,,16.47058824,,62.1799143,h,45.33414026,h,32.76,,59.86,
93,Algeria,0.46,,114,,77.69478932,,11.564,,7.00525394,,42.91045642,c,46.81516971,c,17.57,,65.53,
94,Turkmenistan,..,,..,,5.148083393,,21.184,,25.73099415,,98.05849678,c,98.43949646,c,..,,..,
95,Guyana,0.416,,104,,111.9429401,,64.636,,35.38461538,,58.74348609,d,56.44360471,d,37.81,,53.38,
96,Mongolia,0.297,,72,,39.49361184,,25.031,,17.10526316,,79.25840759,,73.04766846,,53.48,,68.4,
97,Dominica,..,,..,,..,,37.933,,34.375,,..,,..,,..,,..,
98,Tonga,0.462,,115,,125.6376347,,19.245,,3.703703704,,93.74305134,d,93.38483877,d,42.96,,54.89,
99,Jordan,0.449,,111,,41.31479125,,24.87,,13.33333333,,77.37870026,,84.21157074,,13.81,,60.71,
100,Ukraine,0.188,,48,,16.54036907,,15.175,,20.33096927,,95.65286698,d,93.48713834,d,47.77,,62.87,
101,Tunisia,0.237,,59,,36.62558326,,6.632,,26.26728111,,40.01865832,c,47.17494938,c,29.25,,71.81,
102,Marshall Islands,..,,..,,..,,57.47,,6.060606061,,91.6442337,i,92.46858215,i,37.34,,61.23,
102,Paraguay,0.429,,106,,71.12280792,,69.916,,16.8,,54.31000137,,53.34999847,,59.06,,82.38,
104,Fiji,0.332,,78,,38.04679493,,26.141,,19.60784314,,66.0850296,,61.26940155,,37.26,,77.71,
105,Egypt,0.389,,93,,16.81970781,,43.603,,22.78338945,,85.93412225,c,78.72511144,c,15.34,,69.1,
106,Uzbekistan,0.242,,61,,30.17849377,,15.693,,29.09836066,,99.95729828,,100,,39.92,,73.14,
107,Viet Nam,0.378,,91,,124.2570792,,34.992,,30.26052104,,61.47644004,c,69.48935602,c,68.54,,77.84,
108,Saint Lucia,0.347,,82,,73.26797861,,36.264,,24.13793103,,50.00593172,c,44.02722023,c,62.66,,75.83,
109,Lebanon,0.365,,86,,20.62462437,,20.04,,6.25,,54.74398998,j,61.07482541,g,29.81,,70.17,
110,South Africa,0.401,,99,,126.8326855,,60.891,,45.37444934,k,83.04311371,,84.88062286,,50.82,,63.46,
111,"Palestine, State of",..,,..,,20.43431277,,42.901,,..,,67.92896271,,67.63430786,,18.58,,70.73,
112,Indonesia,0.439,,109,,172.9225117,,32.94,,21.91304348,,51.00518036,,58.21279907,,52.5,,81.45,
113,Philippines,0.388,,92,,78.23625789,,48.059,,27.46268657,,74.41607525,c,69.9263245,c,44.06,,68.77,
114,Botswana,0.483,,120,,185.8968424,,48.343,,11.11111111,,92.1,,92.5,,60.06,,69.71,
115,Jamaica,0.35,,83,,98.87891185,,32.021,,30.95238095,,74.82249179,d,67.03675933,d,56.04,,69.93,
116,Samoa,0.406,,101,,59.07907356,,43.766,,12.96296296,,92.44230652,l,86.98742676,l,49.8,,80.63,
117,Kyrgyzstan,0.345,,81,,50.38244477,,33.766,,20.45454545,,92.35070479,c,94.40516115,c,52.49,,78.01,
118,Belize,0.454,,113,,129.7882665,,56.569,,19.56521739,,54.48728943,,49.83901978,,48.56,,75.61,
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),0.521,,134,,259.1864495,,82.006,,22.15568862,m,80.95437283,d,76.40734894,d,45.21,,70.57,
120,Bolivia (Plurinational State of),0.418,,105,,160.9074003,,63.073,,48.19277108,,58.40999985,,69.51999664,,71.84,,85.03,
120,Morocco,0.44,,110,,71.85185202,,25.455,,21.3592233,,31.9,,37.9,,19.8,,69.6,
122,Nauru,..,,..,,..,,71.085,,10.52631579,,..,,..,,56.79,,73.63,
123,Gabon,0.524,,136,,226.5504366,,89.807,,18.0952381,,70.4,,55.3,,34.71,,56.19,
124,Suriname,0.405,,100,,96.45954135,,55.223,,29.41176471,,45.46498871,e,42.28636169,e,42.3,,61.69,
125,Bhutan,0.334,,80,,59.94775675,,18.481,,15.71428571,,26.6817707,g,34.25285327,g,53.48,,73.45,
126,Tajikistan,0.269,,67,,16.63169841,,44.923,,26.59574468,,93.57733366,d,94.01243126,d,33.31,,52.09,
127,El Salvador,0.369,,87,,42.79046022,,54.546,,27.38095238,,42.65000153,,51.43000031,,46.38,,77.71,
128,Iraq,0.562,,143,,76.11045758,,61.151,,28.87537994,,25.29957764,d,40.35295432,d,10.77,,68.24,
129,Bangladesh,0.498,,127,,123.0282527,,73.345,,20.85714286,,43.65986785,c,50.50793677,c,39.15,,81.39,
130,Nicaragua,0.397,,97,,77.87857279,,83.964,,51.64835165,,49.4265712,c,40.25622896,c,48.61,,81.06,
131,Cabo Verde,0.325,,75,,42.24144007,,53.987,,38.88888889,,28.82934555,g,31.68248541,g,46.71,,62.76,
132,Tuvalu,..,,..,,..,,31.678,,6.25,,58.06927872,,58.50217056,,20.03,,29.63,
133,Equatorial Guinea,..,,..,,212.3303009,,136.439,,27.01149425,,..,,..,,..,,..,
134,India,0.437,,108,,102.653912,,16.299,,14.63414634,,40.95923996,,58.66342926,,28.26,,76.14,
135,Micronesia (Federated States of),..,,..,,74.31193375,,35.692,,7.142857143,,..,,..,,45.01,,65.95,
136,Guatemala,0.474,,117,,95.50207508,,63.163,,19.375,,31.06823311,c,37.79858434,c,41.53,,82.79,
137,Kiribati,..,,..,,76.33471243,,39.585,,6.666666667,,..,,..,,16.11,,73.04,
138,Honduras,0.413,,102,,71.81927749,,71.333,,27.34375,,34.76135231,c,31.38680084,c,49.63,,81.07,
139,Lao People's Democratic Republic,0.467,,116,,126.0617471,,71.782,,21.95121951,,18.6842884,d,30.41258525,d,61.47,,70.76,
140,Vanuatu,..,,..,,94.44281395,,63.164,,1.923076923,,..,,..,,26.65,,36.36,
141,Sao Tome and Principe,..,,..,,146.2400532,,77.367,,14.54545455,,42.87084032,n,52.81669149,n,..,,..,
142,Eswatini (Kingdom of),0.491,,124,,239.6323914,,68.426,,21.15384615,,35.3,,37.3,,44.87,,51.48,
142,Namibia,0.45,,112,,214.6350593,,63.074,,35.61643836,,42.0822997,d,44.98894249,d,54.12,,61.19,
144,Myanmar,0.479,,119,,178.6743751,,32.764,,14.97659906,m,39.19248558,d,49.91804481,d,44.17,,78.56,
145,Ghana,0.512,,130,,263.1085862,,63.41,,14.54545455,,59.1002853,d,73.97693434,d,72.07,,73.07,
146,Kenya,0.533,,139,,529.9622562,,62.61,,24.75961538,,54.59402847,,63.49470139,,62.85,,72.58,
146,Nepal,0.495,,126,,174.4101759,,63.358,,33.83233533,,25.97287447,d,42.77925595,d,27.91,,54.95,
148,Cambodia,0.486,,122,,217.983153,,45.657,,19.2513369,,16.44873047,,29.0128994,,73.73,,85.82,
149,Congo,0.572,,144,,282.3857526,,101.197,,15.90909091,,32.08125585,d,50.04781946,d,44.1,,63.85,
150,Angola,0.52,,133,,221.9064903,,135.792,,33.63636364,,21.33986532,g,37.41194629,g,74.73,,78.16,
151,Cameroon,0.555,,142,,437.7528524,,108.618,,31.07142857,,24.53424513,d,39.3197935,d,66.82,,76.83,
152,Comoros,..,,..,,216.9537272,,56.081,,16.66666667,,..,,..,,41.13,,59.35,
153,Zambia,0.526,,137,,134.6654218,,116.091,,15.06024096,,33.73203586,d,51.36293324,d,54.16,,66.36,
154,Papua New Guinea,0.604,,151,,191.8387443,,54.335,,1.739130435,,26.34166408,d,37.4968198,d,46.01,,48.01,
155,Timor-Leste,0.415,,103,,203.9242348,,33.265,,40,,33.4715131,c,39.79870998,c,27.91,,41.38,
156,Solomon Islands,..,,..,,122.2495124,,59.426,,8,,..,,..,,82.94,,85.98,
157,Syrian Arab Republic,0.487,,123,,29.91732592,,38.129,,11.2,,24.05722504,j,31.98297212,j,14.43,,68.9,
158,Haiti,0.621,,158,,350.4002257,,51.837,,2.739726027,o,28.04501983,d,36.9299118,d,48.81,,65.95,
159,Uganda,0.527,,138,,284.1407767,,105.679,,33.81294964,,10.79458253,c,20.43357187,c,74.53,,84.24,
159,Zimbabwe,0.519,,132,,356.7589193,,92.566,,33.62573099,,63.43482439,c,73.59148496,c,60.01,,71.59,
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
161,Nigeria,0.677,,165,,1047.235352,,99.56,,4.47761194,,42.39007187,,57.8144989,,77.04,,85.66,
161,Rwanda,0.4,,98,,258.9246287,,32.248,,54.71698113,,14.60159969,,18.73987961,,54.76,,66.21,
163,Togo,0.578,,147,,399.0398502,,77.034,,18.68131868,,13.50093241,c,33.07840422,c,79.78,,98.58,
164,Mauritania,0.603,,150,,463.8320971,,76.845,,20.26143791,,16.07508449,d,27.55589289,d,30.99,,65.71,
164,Pakistan,0.522,,135,,154.1639358,,41.205,,20.13574661,,22.04421511,c,26.87501103,c,24.53,,80.67,
166,Côte d'Ivoire,0.612,,156,,479.9067504,,103.293,,15.58073654,,13.54285555,d,29.33250436,d,54.53,,71.21,
167,Tanzania (United Republic of),0.513,,131,,238.2987945,,123.44,,36.8556701,,9.29535266,c,14.31607304,c,75.5,,84.52,
168,Lesotho,0.552,,141,,566.2062536,,89.077,,25.97402597,,34.12507847,c,29.69854533,c,51.55,,64.95,
169,Senegal,0.505,,129,,260.8806328,,64.613,,44.24242424,,9.153320224,c,19.04797925,c,39.31,,68.37,
170,Sudan,0.548,,140,,270.3553499,,77.58,,31.04166667,p,17,,20.4,,28.04,,69.07,
171,Djibouti,..,,..,,234.4900707,,22.675,,26.15384615,,..,,..,,18.22,,48.06,
172,Malawi,0.579,,148,,380.6698944,,117.23,,22.91666667,,12.71358013,,26.16975021,,63.14,,74.55,
173,Benin,0.649,,160,,522.604743,,90.835,,7.407407407,,9.189770574,c,21.49103186,c,51.59,,67.8,
174,Gambia,0.585,,149,,458.2402899,,60.681,,8.620689655,,26.04137039,,40.72243118,,59,,64.46,
175,Eritrea,..,,..,,321.5507139,,63.639,,22,o,..,,..,,..,,..,
176,Ethiopia,0.494,,125,,266.6895641,,66.502,,38.92508143,,7.456801249,c,13.14200887,c,57.6,,79.2,
177,Liberia,0.656,,161,,652.3387327,,121.996,,9.708737864,,19.72875425,d,45.78054035,d,43.51,,50.05,
177,Madagascar,0.574,,145,,391.5169181,,118.125,,17.75147929,,15.90098,,21.22050095,,78.81,,88.91,
179,Guinea-Bissau,0.631,,159,,725.0924251,,85.775,,13.7254902,,10.89719,,24.57486,,52.11,,66.12,
180,Congo (Democratic Republic of the),0.605,,152,,547.360277,,107.481,,14.77832512,,38.78568082,c,65.70857476,c,60.01,,66.37,
181,Guinea,0.609,,154,,553.4015874,,112.231,,29.62962963,,7.484393948,c,20.03857033,c,44.6,,66.95,
182,Afghanistan,0.665,,162,,620.4075093,,79.735,,27.21518987,m,7.042049885,,24.07703972,,23.33,,77.09,
183,Mozambique,0.477,,118,,127.1105289,,165.136,,42.4,,17.86639977,,25.05237961,,73.94,,80.05,
184,Sierra Leone,0.613,,157,,442.8304294,,97.943,,12.32876712,,14.52282018,c,33.86528526,c,48.28,,55.91,
185,Burkina Faso,0.577,,146,,263.7554049,,108.692,,16.90140845,,11.1812398,c,20.34372055,c,27.54,,40.97,
186,Yemen,0.82,,166,,183.3997163,,52.497,,0.294117647,,23.7,,38.2,,5.84,,64.69,
187,Burundi,0.499,,128,,494.4297813,,52.595,,38.88888889,,8.178422559,c,13.76234396,c,77.99,,79.12,
188,Mali,0.607,,153,,440.2247966,,147.652,,28.57142857,,7.999770164,,15.48596954,,51.51,,84.99,
189,Chad,0.671,,163,,1063.493291,,135.678,,25.88832487,,3.666509381,c,14.95313718,c,51.14,,74.98,
