Unnamed: 0,Unnamed: 1,Value,Unnamed: 3,Rank,Unnamed: 5,"(deaths per 100,000 live births)",Unnamed: 7,"(births per 1,000 women ages 15–19)",Unnamed: 9,(% held by women),Unnamed: 11,(% ages 25 and older),Unnamed: 13,Unnamed: 14,Unnamed: 15,(% ages 15 and older),Unnamed: 17,Unnamed: 18,Unnamed: 19
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,World,0.462,,—,,214.72398398694568,,41.92440250350733,,26.184549356019083,,64.11855785131876,,70.96741100727924,,46.799926323009025,,73.8805216770655,
,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,
,a. Updated by HDRO based on data from International Labour Organization (2023).,,,,,,,,,,,,,,,,,,
,b. Data refer to 2022 or the most recent year available.,,,,,,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,e. Refers to 2018 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,f. Refers to 2013 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,g. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and estimates using cross-country regression.,,,,,,,,,,,,,,,,,,
,h. Updated by HDRO based on data from Barro and Lee (2018) and estimates using cross-country regression.,,,,,,,,,,,,,,,,,,
,i. Refers to 2011 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,"j. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization Institute for Statistics.",,,,,,,,,,,,,,,,,,
,k. Excludes the 36 special rotating delegates appointed on an ad hoc basis.,,,,,,,,,,,,,,,,,,
,l. Refers to 2019 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,m. Refers to 2021.,,,,,,,,,,,,,,,,,,
,n. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,,,,,,
,o. Refers to 2019.,,,,,,,,,,,,,,,,,,
,p. Refers to 2018.,,,,,,,,,,,,,,,,,,
,q. Refers to 2008 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,
,"Gender Inequality Index: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2023_technical_notes.pdf for details on how the Gender Inequality Index is calculated.",,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio: Number of deaths due to pregnancy-related causes per 100,000 live births.",,,,,,,,,,,,,,,,,,
,"Adolescent birth rate: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,
,"Share of seats in parliament: Proportion of seats held by women in the national parliament expressed as a percentage of total seats. For countries with a bicameral legislative system, the share of seats is calculated based on both houses.",,,,,,,,,,,,,,,,,,
,Population with at least some secondary education: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education.,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Proportion of the working-age population (ages 15 and older) that engages in the labour market, either by working or actively looking for work, expressed as a percentage of the working-age population.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,
,Column 1: HDRO calculations based on data in columns 3–9.,,,,,,,,,,,,,,,,,,
,Column 2: Calculated based on data in column 1.,,,,,,,,,,,,,,,,,,
,"Column 3: WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2023). ",,,,,,,,,,,,,,,,,,
,Column 4: UNDESA (2022). ,,,,,,,,,,,,,,,,,,
,Column 5: IPU (2023). ,,,,,,,,,,,,,,,,,,
,"Columns 6 and 7: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2023), UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,,,,,,
,Columns 8 and 9: ILO (2023).,,,,,,,,,,,,,,,,,,
